username,edit_iteration,revert_iteration,protected_contribs,protected_reverts,total_contribs,total_reverts,registration,ec_timestamp,pro_palestine,pro_israel
Bearcat,1,,8,0,5281,,2003-10-03T23:52:08Z,2024-05-01T18:12:12Z,,
Senorangel,1,,2,0,55,,2022-02-22T22:33:04Z,2023-10-27T01:34:09Z,,
AndreJustAndre,1,,65,0,1086,,2003-06-19T00:42:19Z,2018-06-10T03:59:22Z,,1.0
Frietjes,1,,0,0,2182,,2011-01-14T18:24:41Z,2016-04-06T13:59:22Z,,
Omnipaedista,1,,25,0,2063,,2008-12-14T06:02:32Z,2016-04-06T11:47:40Z,,
Ainty Painty,1,,34,0,461,,2018-09-16T16:01:08Z,2018-10-16T16:46:08Z,,
VioletEscalator,1,,0,0,1866,,2023-01-21T20:47:38Z,2024-04-13T02:41:19Z,,
WereSpielChequers,1,,0,0,1224,,2007-04-09T12:50:37Z,2025-02-23T21:28:50Z,,
Citation bot,1,,131,0,71603,,2008-09-21T02:34:54Z,,,
Monk of Monk Hall,1,,43,0,92,,2022-02-25T19:31:11Z,2024-03-14T01:55:00Z,,
Professor Penguino,1,,7,0,96,,2022-10-13T00:26:20Z,2022-11-25T23:32:28Z,1.0,
Rafe87,1,,38,0,57,,2015-08-01T13:12:11Z,2017-04-30T19:51:36Z,,
Tigerdude9,1,,7,0,165,,2017-10-15T22:36:04Z,2018-08-20T21:27:51Z,,
TheXuitts,1,,0,0,56,,2018-02-11T14:31:09Z,2018-09-20T20:08:26Z,,
Carwil,1,,4,0,17,,2005-03-10T22:45:30Z,2016-04-14T14:07:17Z,,
NekoKatsun,1,,2,0,88,,2014-11-20T17:34:02Z,2017-09-25T19:48:21Z,,
Pachu Kannan,1,,600,0,1116,,2021-01-08T07:34:00Z,2021-04-23T15:23:41Z,,
AHI-3000,1,,8,0,304,,2016-02-28T04:33:20Z,2022-04-14T10:15:09Z,,
ForsythiaJo,1,,8,0,585,,2022-11-30T18:36:03Z,2023-01-12T22:42:55Z,,
Rainsage,1,,24,0,160,,2023-12-03T01:15:00Z,2024-06-13T01:14:38Z,,
Daniel Case,1,,72,0,1847,,2005-01-06T06:21:05Z,2024-09-03T17:59:49Z,,
Glass Snow,1,,8,0,87,,2024-06-27T10:34:35Z,,,
Yapperbot,1,,2,0,926,,2020-05-05T15:41:24Z,,,
AnomieBOT,1,,51,0,26568,,2008-08-07T17:09:33Z,,,
WikiCleanerMan,1,,11,0,150,,2020-09-12T00:09:07Z,2021-01-17T18:03:46Z,,
Leaky.Solar,1,,20,0,80,,2018-04-16T18:19:15Z,2018-08-21T22:03:10Z,,
Ygolygydd,1,,0,0,553,,2023-08-29T17:20:02Z,2024-09-07T23:01:05Z,,
Evaporation123,1,,111,0,160,,2023-07-26T21:46:36Z,2024-03-07T21:33:13Z,,
Durranistan,1,,114,0,174,,2021-10-28T06:17:16Z,2022-01-11T11:17:15Z,,
Alon9393,1,,0,0,436,,2024-07-19T17:39:51Z,2024-09-13T17:08:26Z,,
CFA,1,,2,0,4436,,2021-02-24T14:49:35Z,2021-06-16T14:30:46Z,,
