username,protected_contribs,protected_reverts,registration,ec_timestamp,edit_iteration,total_contribs,total_reverts,pro_palestine,pro_israel
ActivelyDisinterested,0,0,2021-10-14T22:19:56Z,2021-11-14T00:47:36Z,1.0,498.0,,,
AnomieBOT,105,0,2008-08-07T17:09:33Z,,1.0,39153.0,,,
ZKang123,0,0,2014-09-28T07:05:23Z,2017-11-02T02:14:34Z,1.0,85.0,,,
Corriebertus,12,0,2006-11-20T10:10:40Z,2016-04-13T13:20:18Z,1.0,20.0,,,
Citation bot,249,0,2008-09-21T02:34:54Z,,1.0,94012.0,,,
O.maximov,0,6,2024-02-08T16:01:50Z,2024-05-09T15:20:42Z,1.0,19.0,1.0,,
30Four,0,0,2023-02-23T19:21:06Z,2024-02-15T03:16:03Z,1.0,40.0,,,
Vanished user a12dd94fe07415c6f001d68ae46559f0,25,0,2024-02-17T03:50:00Z,2024-03-18T04:05:56Z,1.0,68.0,,,
Alanscottwalker,9,0,2008-05-18T11:52:03Z,2016-04-06T11:00:41Z,1.0,649.0,,,
Misha Wolf,11,0,2006-07-14T13:28:41Z,2020-08-29T15:52:41Z,1.0,34.0,,,
Triggerhippie4,4,0,2012-01-25T20:32:00Z,2016-04-06T09:04:49Z,1.0,26.0,3.0,,
Rhosnes,4,0,2021-06-30T12:29:37Z,2022-03-13T00:06:08Z,1.0,64.0,1.0,,
Trappist the monk,4,0,2009-08-09T16:35:26Z,,1.0,543.0,,,
RedactedHumanoid,0,0,2024-07-14T02:03:30Z,2024-09-04T19:07:22Z,1.0,583.0,,,
Headbomb,0,0,2006-05-18T14:44:40Z,2016-04-05T23:42:46Z,1.0,1996.0,,,
Kowal2701,3,75,2023-02-02T18:20:37Z,2024-02-22T17:48:47Z,1.0,919.0,16.0,,
PeleYoetz,6,42,2024-05-09T13:23:57Z,2024-06-17T08:04:35Z,1.0,90.0,4.0,,
DuncanHill,23,0,2006-07-05T22:03:05Z,2016-04-06T15:20:22Z,1.0,719.0,,,
Galamore,27,8,2023-12-25T10:04:36Z,2024-03-26T07:13:43Z,1.0,59.0,2.0,,
StefenTower,2,0,2004-03-20T22:40:45Z,2016-04-05T23:35:42Z,1.0,8805.0,,,
Wafflefrites,37,0,2022-05-04T22:17:55Z,2023-01-05T05:59:37Z,1.0,176.0,,,
JohnAdams1800,40,0,2022-08-21T00:31:03Z,2023-03-15T16:31:15Z,1.0,731.0,,,
JJMC89 bot III,15,0,2019-02-24T00:18:52Z,,1.0,97971.0,,,
Jayen466,43,0,2006-04-18T16:47:56Z,2016-04-06T03:14:36Z,1.0,110.0,,,
Mawer10,0,0,2020-03-26T11:00:57Z,2023-09-28T19:59:26Z,1.0,102.0,2.0,,
FourPi,4728,3950,2024-04-24T06:42:09Z,2024-07-25T20:07:10Z,1.0,1047.0,47.0,,
Evaporation123,120,0,2023-07-26T21:46:36Z,2024-03-07T21:33:13Z,1.0,173.0,,,
Qplb191,2,0,2022-06-29T11:14:34Z,2022-12-23T18:34:30Z,1.0,6.0,,,
PrimaPrime,6,0,2014-10-23T00:34:46Z,2019-09-11T01:17:56Z,1.0,20.0,,,
