username,edit_iteration,revert_iteration,protected_contribs,protected_reverts,total_contribs,total_reverts,registration,ec_timestamp,pro_palestine,pro_israel
Daniel Quinlan,1.0,,8,0,495.0,,2002-12-07T04:25:59Z,2022-11-27T05:15:35Z,,
Mount Patagonia,1.0,,0,0,18.0,,2019-07-21T04:42:39Z,2020-02-25T19:08:42Z,,
78.40.183.44,1.0,2.0,3,0,3.0,,,,,
RMCD bot,1.0,,2,0,2116.0,,2012-07-24T22:16:20Z,,,
Folkezoft,1.0,,3,0,115.0,,2024-06-21T17:19:56Z,2024-09-02T21:08:43Z,,
Bobby Cohn,1.0,,0,0,603.0,,2021-01-29T20:43:33Z,2023-09-27T14:38:40Z,,
2001:569:530F:1F00:8DB1:BB0B:DC7:9E23,1.0,,0,0,7.0,,,,,
ElijahPepe,1.0,,6,0,178.0,,2019-09-07T01:06:29Z,2022-03-20T16:03:11Z,,
Scs52,1.0,,0,0,26.0,,2024-01-31T18:24:00Z,2024-11-29T12:39:42Z,,
Uricoh,1.0,1.0,40,51,117.0,4.0,2024-06-29T18:29:28Z,,,
Personisinsterest,1.0,,17,0,111.0,,2023-10-06T18:44:37Z,2024-02-01T01:41:05Z,,
2A06:C701:44C0:DC00:19C5:C2B2:3819:EC5D,1.0,2.0,2,0,8.0,,,,,
Roc0ast3r,1.0,,0,0,73.0,,2018-09-06T04:18:00Z,2021-12-19T11:56:21Z,,
Frost,1.0,,2,0,3348.0,,2017-02-07T02:18:16Z,2020-03-03T21:37:40Z,,
Hogo-2020,1.0,,3,0,87.0,,2020-12-27T16:40:07Z,2021-10-27T11:39:45Z,,
Misha Wolf,1.0,,2,0,24.0,,2006-07-14T13:28:41Z,2020-08-29T15:52:41Z,,
Bradv,1.0,,4,0,106.0,,2008-01-23T03:16:11Z,2023-12-31T15:38:52Z,,
Callanecc,1.0,,0,0,322.0,,2009-08-30T05:17:05Z,2025-01-04T07:59:29Z,,
Mawer10,1.0,1.0,0,0,31.0,1.0,2020-03-26T11:00:57Z,2023-09-28T19:59:26Z,,
I Am Andumé,1.0,,0,0,11.0,,2022-05-22T19:07:21Z,2023-09-18T18:37:51Z,,
Boud,1.0,,32,0,206.0,,2003-03-12T19:24:29Z,2016-04-06T09:54:13Z,,
Buidhe,1.0,,4,0,82.0,,2012-04-19T19:14:37Z,2017-01-10T19:46:19Z,,
Eldomtom2,1.0,,0,0,41.0,,2017-03-25T20:00:15Z,2022-02-06T20:50:39Z,,
Firefangledfeathers,1.0,,10,0,533.0,,2009-02-01T20:41:50Z,2023-09-07T15:36:40Z,,
Johnkatz1972,1.0,,2,0,18.0,,2008-02-16T14:56:53Z,2016-04-15T08:22:45Z,,
Kharbaan Ghaltaan,1.0,,5,0,69.0,,2023-09-12T17:17:35Z,2024-02-19T19:41:41Z,1.0,
Astropulse,1.0,1.0,2,0,64.0,2.0,2022-11-12T21:18:01Z,2024-06-29T02:57:56Z,,
Yekshemesh,1.0,,0,0,36.0,,2011-11-21T08:23:38Z,2020-06-10T03:35:01Z,,
Kaltenmeyer,1.0,,2,0,262.0,,2011-06-03T18:34:37Z,2016-04-06T01:24:01Z,,
DrBobDrBob,1.0,,2,0,16.0,,2016-12-21T23:02:26Z,2020-05-30T15:40:35Z,,
ClueBot III,1.0,,4,0,4706.0,,2007-08-30T09:16:50Z,,,
Starship.paint,1.0,,23,0,175.0,,2011-05-14T06:41:00Z,2016-04-06T00:32:33Z,,
Sean.hoyland,1.0,,0,0,61.0,,2007-06-19T04:35:09Z,2016-04-06T05:17:35Z,,
ReiPeixe,1.0,1.0,3,0,3.0,0.0,2014-03-14T01:14:15Z,,,
Emdosis,1.0,,3,0,14.0,,2018-10-31T14:42:17Z,2024-07-29T17:01:42Z,,
ScottishFinnishRadish,1.0,,13,0,447.0,,2021-01-22T12:46:27Z,2024-10-07T16:57:03Z,,
Snoteleks,1.0,,7,0,17.0,,2021-04-28T10:11:36Z,2022-03-09T17:10:41Z,,
FortunateSons,1.0,,5,0,126.0,,2023-09-15T14:26:48Z,2024-01-09T01:27:53Z,,1.0
Cdjp1,1.0,,34,0,216.0,,2015-08-13T06:09:31Z,2017-04-29T08:31:23Z,,
NFSreloaded,1.0,,4,0,373.0,,2009-08-27T23:20:58Z,2018-04-01T20:20:37Z,,
Ecpiandy,1.0,2.0,21,0,37.0,,2011-11-10T00:49:42Z,2017-06-04T22:10:34Z,,
Sameboat,1.0,,10,0,72.0,,2006-02-18T12:42:25Z,2016-04-06T04:31:00Z,,
2A00:A041:2C22:700:39B2:602B:B33D:BBB5,1.0,,2,0,2.0,,,,,
2A0D:6FC0:99E:9600:E110:761A:400D:F7C2,1.0,,2,0,2.0,,,,,
Amayorov,1.0,,12,0,317.0,,2016-07-08T15:06:37Z,2024-07-06T00:33:45Z,,
Kashmiri,1.0,,8,0,382.0,,2006-01-17T21:05:26Z,2016-04-09T19:56:50Z,,
3E1I5S8B9RF7,1.0,,6,0,23.0,,2017-06-23T11:34:35Z,2018-10-04T17:56:28Z,,
KronosAlight,1.0,,60,0,96.0,,2012-05-06T12:03:17Z,2016-07-26T18:06:02Z,,
DanHakimi,1.0,,5,0,10.0,,2011-03-08T22:58:18Z,,,
UlfRSamuelsson,1.0,,5,0,14.0,,2014-08-31T11:23:45Z,,,
Rkieferbaum,1.0,,0,0,160.0,,2013-08-09T23:55:13Z,2022-02-26T00:28:20Z,,
AndyBloch,1.0,,0,0,24.0,,2006-07-11T23:47:11Z,,,
DancingOwl,1.0,,7,0,37.0,,2023-10-18T10:57:09Z,2024-11-02T10:28:55Z,,
Doczilla,1.0,,0,0,55.0,,2006-02-04T09:01:27Z,,,
5225C,1.0,,4,0,34.0,,2019-06-15T06:12:30Z,2020-03-13T12:54:13Z,,
StellarHalo,1.0,,2,0,9.0,,2020-04-25T13:43:41Z,2021-08-21T02:31:46Z,,
Walsh90210,1.0,,7,0,228.0,,2024-05-18T00:32:45Z,2024-06-18T01:21:21Z,,
My very best wishes,1.0,,21,0,183.0,,2009-07-08T14:07:27Z,2016-04-05T23:55:25Z,,
Vanilla Wizard,1.0,,7,0,36.0,,2016-07-27T03:29:55Z,2017-09-17T21:07:25Z,,
Gidonb,1.0,,9,0,123.0,,2003-11-29T02:53:41Z,2016-04-06T14:00:56Z,,
Bduke,1.0,,0,0,43.0,,2005-10-31T04:38:03Z,2020-10-05T03:03:04Z,,
Altenmann,1.0,,0,0,1296.0,,2003-11-13T04:29:44Z,2016-04-06T03:50:37Z,,
